阿姨,āyí,aunt
啊,a,ah
矮,ǎi,short
爱好,àihào,hobby
安静,ānjìng,Be quiet
把,bǎ,hold
班,bān,class
搬,bān,move
半,bàn,half
办法,bànfǎ,Way
办公室,bàngōngshì,Office
帮忙,bāngmáng,Help
包,bāo,package
饱,bǎo,full
北方,běifāng,north
被,bèi,cover
鼻子,bízi,nose
比较,bǐjiào,compare
比赛,bǐsài,Match
笔记本,bǐjìběn,notebook
必须,bìxū,Must
变化,biànhuà,change
别人,biéren,Others
冰箱,bīngxiāng,Refrigerator
菜单,càidān,menu
参加,cānjiā,participate in
草,cǎo,grass
层,céng,layer
差,chà,bad
超市,chāoshì,Supermarket
衬衫,chènshān,shirt
成绩,chéngjì,achievement
城市,chéngshì,City
迟到,chídào,Late
除了,chúle,"except, besides"
船,chuán,ship
春,chūn,spring
词典,cídiǎn,Dictionaries
聪明,cōngming,clever
打扫,dǎsǎo,Clean
打算,dǎsuàn,Plan
带,dài,belt
担心,dānxīn,Worry
蛋糕,dàngāo,Cake
当然,dāngrán,Of course
地,de,
灯,dēng,lamp
地方,dìfang,local
地铁,dìtiě,metro
地图,dìtú,Map
电梯,diàntī,Elevator.
电子邮件,diànzǐyóujiàn,E-mail
东,dōng,east
冬,dōng,winter
动物,dòngwù,Animal
短,duǎn,short
段,duàn,paragraph
锻炼,duànliàn,Physical exercise
多么,duōme,such
饿,è,hungry
不但……而且……,búdàn…érqiě…,not only…but also…
耳朵,ěrduo,Ears
发,fā,send out
发烧,fāshāo,Have a fever
发现,fāxiàn,"find, discover"
方便,fāngbiàn,convenient
放,fàng,discharge
放心,fàngxīn,Don’t worry
分,fēn,minute
附近,fùjìn,nearby
复习,fùxí,Review
干净,gānjìng,clean
感兴趣,gǎnxìngqù,be intretested in
感冒,gǎnmào,get a cold
刚才,gāngcái,just
个子,gèzi,height
跟,gēn,with
根据,gēnjù,according to
更,gèng,more
公斤,gōngjīn,Kg.
公园,gōngyuán,Park
故事,gùshi,Story
刮风,guāfēng,Windy
关,guān,shut
关系,guānxì,relationship
关心,guānxīn,Care for
关于,guānyú,about
国家,guójiā,Country
过去,guòqù,Past times
过（动词）,guò,pass
还是,háishì,still
害怕,hàipà,Fear
黑板,hēibǎn,blackboard
后来,hòulái,later
护照,hùzhào,passport
花（动词）,huā,spend
花（名词）,huā,flower
